Country,B-G Namespace,Year,Air Quality Network,Air Quality Network Name,Timezone,Air Quality Station EoI Code,Air Quality Station Nat Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Longitude,Latitude,Altitude,Altitude Unit,Air Quality Station Area,Air Quality Station Type,Operational Activity Begin,Operational Activity End,Sample Id,Inlet Height,Inlet Height Unit,Building Distance,Building Distance Unit,Kerb Distance,Kerb Distance Unit,Distance Source,Distance Source Unit,Main Emission Sources,Heating Emissions,Heating Emissions Unit,Mobile,Traffic Emissions,Traffic Emissions Unit,Industrial Emissions,Industrial Emissions Unit,Municipality,Dispersion Local,Dispersion Regional,Distance Junction,Distance Junction Unit,Heavy Duty Fraction,Height Facades,Street Width,Traffic Speed,Traffic Volume,Process Id,Process Activity Begin,Process Activity End,Measurement Type,Measurement Method,Other Measurement Method,Measurement Equipment,Other Measurement Equipment,Sampling Method,Other Sampling Method,Analytical Technique,Other Analytical Technique,Equivalence Demonstrated,Demonstration Report,Detection Limit,Detection Limit Unit,Documentation,QA Report,Duration,Duration Unit,Cadence,Cadence Unit,Source Data URL,Imported
"Austria","AT.0008.20.AQ","2024","NET.01","Amt der Burgenländischen Landesregierung","UTC+01","AT10001","010001","Eisenstadt Laschoberstraße","SPO.01.0001.1556.38.1","NO","16.52617","47.84011","165.0","m","suburban","background","01/01/1995 00:00:00","","SAM.01.0001.1556.38.1","4.0","m","50.0","m","40.0","m","1000.0","m","Transport","8.0","t.km-2.year-1","0","","","40.0","t.year-1","7000 Eisenstadt","open","plane","40.0","","0.04","","5.0","30","13500","SPP.01.0001.1556.38.1.13983","01/01/2014 00:00:00","01/01/2023 00:00:00","automatic","chemi","","horibaAPNA370","","","","","","ref","http://www.umweltbundesamt.at/fileadmin/site/umweltthemen/luft/PM_Aequivalenz_Dokumentation.pdf","0.1","ppbv","Documentation SPP","http://www.umweltbundesamt.at","1","hour","1","hour","http://cdr.eionet.europa.eu/at/eu/aqd/d/envz2geia/AQD_Dataset_D_2024_AT.xml","18/12/2024 13:00:08"
"Austria","AT.0008.20.AQ","2024","NET.01","Amt der Burgenländischen Landesregierung","UTC+01","AT10001","010001","Eisenstadt Laschoberstraße","SPO.01.0001.1556.38.1","NO","16.52617","47.84011","165.0","m","suburban","background","01/01/1995 00:00:00","","SAM.01.0001.1556.38.1","4.0","m","50.0","m","40.0","m","1000.0","m","Transport","8.0","t.km-2.year-1","0","","","40.0","t.year-1","7000 Eisenstadt","open","plane","40.0","","0.04","","5.0","30","13500","SPP.01.0001.1556.38.1.13984","14/05/1996 00:00:00","01/01/2014 00:00:00","automatic","chemi","","horibaAPNA360E","","","","","","ref","http://www.umweltbundesamt.at/fileadmin/site/umweltthemen/luft/PM_Aequivalenz_Dokumentation.pdf","0.9","ppbv","Documentation SPP","http://www.umweltbundesamt.at","1","hour","1","hour","http://cdr.eionet.europa.eu/at/eu/aqd/d/envz2geia/AQD_Dataset_D_2024_AT.xml","18/12/2024 13:00:08"
"Austria","AT.0008.20.AQ","2024","NET.01","Amt der Burgenländischen Landesregierung","UTC+01","AT10001","010001","Eisenstadt Laschoberstraße","SPO.01.0001.1556.38.1","NO","16.52617","47.84011","165.0","m","suburban","background","01/01/1995 00:00:00","","SAM.01.0001.1556.38.1","4.0","m","50.0","m","40.0","m","1000.0","m","Transport","8.0","t.km-2.year-1","0","","","40.0","t.year-1","7000 Eisenstadt","open","plane","40.0","","0.04","","5.0","30","13500","SPP.01.0001.1556.38.1.13985","01/01/1995 00:00:00","22/01/1996 00:00:00","automatic","chemi","","horibaAPNA350","","","","","","ref","http://www.umweltbundesamt.at/fileadmin/site/umweltthemen/luft/PM_Aequivalenz_Dokumentation.pdf","1.5","ppbv","Documentation SPP","http://www.umweltbundesamt.at","1","hour","1","hour","http://cdr.eionet.europa.eu/at/eu/aqd/d/envz2geia/AQD_Dataset_D_2024_AT.xml","18/12/2024 13:00:08"
"Austria","AT.0008.20.AQ","2024","NET.01","Amt der Burgenländischen Landesregierung","UTC+01","AT10001","010001","Eisenstadt Laschoberstraße","SPO.01.0001.1556.38.1","NO","16.52617","47.84011","165.0","m","suburban","background","01/01/1995 00:00:00","","SAM.01.0001.1556.38.1","4.0","m","50.0","m","40.0","m","1000.0","m","Transport","8.0","t.km-2.year-1","0","","","40.0","t.year-1","7000 Eisenstadt","open","plane","40.0","","0.04","","5.0","30","13500","SPP.01.0001.1556.38.1.16649","01/01/2023 00:00:00","","automatic","chemi","","APIT200","","","","","","ref","http://www.umweltbundesamt.at/fileadmin/site/umweltthemen/luft/PM_Aequivalenz_Dokumentation.pdf","0.1","ppbv","Documentation SPP","http://www.umweltbundesamt.at","1","hour","1","hour","http://cdr.eionet.europa.eu/at/eu/aqd/d/envz2geia/AQD_Dataset_D_2024_AT.xml","18/12/2024 13:00:08"
"Austria","AT.0008.20.AQ","2024","NET.01","Amt der Burgenländischen Landesregierung","UTC+01","AT10001","010001","Eisenstadt Laschoberstraße","SPO.01.0001.1557.8.1","NO2","16.52617","47.84011","165.0","m","suburban","background","01/01/1995 00:00:00","","SAM.01.0001.1557.8.1","4.0","m","50.0","m","40.0","m","1000.0","m","Transport","8.0","t.km-2.year-1","0","","","40.0","t.year-1","7000 Eisenstadt","open","plane","40.0","","0.04","","5.0","30","13500","SPP.01.0001.1557.8.1.16648","01/01/2023 00:00:00","","automatic","chemi","","APIT200","","","","","","ref","http://www.umweltbundesamt.at/fileadmin/site/umweltthemen/luft/PM_Aequivalenz_Dokumentation.pdf","0.1","ppbv","Documentation SPP","http://www.umweltbundesamt.at","1","hour","1","hour","http://cdr.eionet.europa.eu/at/eu/aqd/d/envz2geia/AQD_Dataset_D_2024_AT.xml","18/12/2024 13:00:08"
"Austria","AT.0008.20.AQ","2024","NET.01","Amt der Burgenländischen Landesregierung","UTC+01","AT10001","010001","Eisenstadt Laschoberstraße","SPO.01.0001.1557.8.1","NO2","16.52617","47.84011","165.0","m","suburban","background","01/01/1995 00:00:00","","SAM.01.0001.1557.8.1","4.0","m","50.0","m","40.0","m","1000.0","m","Transport","8.0","t.km-2.year-1","0","","","40.0","t.year-1","7000 Eisenstadt","open","plane","40.0","","0.04","","5.0","30","13500","SPP.01.0001.1557.8.1.5795","01/01/2014 00:00:00","01/01/2023 00:00:00","automatic","chemi","","horibaAPNA370","","","","","","ref","http://www.umweltbundesamt.at/fileadmin/site/umweltthemen/luft/PM_Aequivalenz_Dokumentation.pdf","0.1","ppbv","Documentation SPP","http://www.umweltbundesamt.at","1","hour","1","hour","http://cdr.eionet.europa.eu/at/eu/aqd/d/envz2geia/AQD_Dataset_D_2024_AT.xml","18/12/2024 13:00:08"
"Austria","AT.0008.20.AQ","2024","NET.01","Amt der Burgenländischen Landesregierung","UTC+01","AT10001","010001","Eisenstadt Laschoberstraße","SPO.01.0001.1557.8.1","NO2","16.52617","47.84011","165.0","m","suburban","background","01/01/1995 00:00:00","","SAM.01.0001.1557.8.1","4.0","m","50.0","m","40.0","m","1000.0","m","Transport","8.0","t.km-2.year-1","0","","","40.0","t.year-1","7000 Eisenstadt","open","plane","40.0","","0.04","","5.0","30","13500","SPP.01.0001.1557.8.1.6782","14/05/1996 00:00:00","01/01/2014 00:00:00","automatic","chemi","","horibaAPNA360E","","","","","","ref","http://www.umweltbundesamt.at/fileadmin/site/umweltthemen/luft/PM_Aequivalenz_Dokumentation.pdf","0.9","ppbv","Documentation SPP","http://www.umweltbundesamt.at","1","hour","1","hour","http://cdr.eionet.europa.eu/at/eu/aqd/d/envz2geia/AQD_Dataset_D_2024_AT.xml","18/12/2024 13:00:08"
"Austria","AT.0008.20.AQ","2024","NET.01","Amt der Burgenländischen Landesregierung","UTC+01","AT10001","010001","Eisenstadt Laschoberstraße","SPO.01.0001.1557.8.1","NO2","16.52617","47.84011","165.0","m","suburban","background","01/01/1995 00:00:00","","SAM.01.0001.1557.8.1","4.0","m","50.0","m","40.0","m","1000.0","m","Transport","8.0","t.km-2.year-1","0","","","40.0","t.year-1","7000 Eisenstadt","open","plane","40.0","","0.04","","5.0","30","13500","SPP.01.0001.1557.8.1.6950","01/01/1995 00:00:00","22/01/1996 00:00:00","automatic","chemi","","horibaAPNA350","","","","","","ref","http://www.umweltbundesamt.at/fileadmin/site/umweltthemen/luft/PM_Aequivalenz_Dokumentation.pdf","1.5","ppbv","Documentation SPP","http://www.umweltbundesamt.at","1","hour","1","hour","http://cdr.eionet.europa.eu/at/eu/aqd/d/envz2geia/AQD_Dataset_D_2024_AT.xml","18/12/2024 13:00:08"
"Austria","AT.0008.20.AQ","2024","NET.01","Amt der Burgenländischen Landesregierung","UTC+01","AT10001","010001","Eisenstadt Laschoberstraße","SPO.01.0001.3811.1.1","SO2","16.52617","47.84011","165.0","m","suburban","background","10/03/2000 00:00:00","","SAM.01.0001.3811.1.1","4.0","m","50.0","m","40.0","m","","m","Long-range transboundary transport","2.6","t.km-2.year-1","0","","","","t.year-1","7000 Eisenstadt","open","plane","40.0","","0.04","","5.0","30","13500","SPP.01.0001.3811.1.1.5905","10/03/2000 00:00:00","01/01/2013 00:00:00","automatic","UV-FL","","horibaAPSA360E","","","","","","ref","http://www.umweltbundesamt.at/fileadmin/site/umweltthemen/luft/PM_Aequivalenz_Dokumentation.pdf","0.1","ppbv","Documentation SPP","http://www.umweltbundesamt.at","1","hour","1","hour","http://cdr.eionet.europa.eu/at/eu/aqd/d/envz2geia/AQD_Dataset_D_2024_AT.xml","18/12/2024 13:00:08"
"Austria","AT.0008.20.AQ","2024","NET.01","Amt der Burgenländischen Landesregierung","UTC+01","AT10001","010001","Eisenstadt Laschoberstraße","SPO.01.0001.3811.1.1","SO2","16.52617","47.84011","165.0","m","suburban","background","10/03/2000 00:00:00","","SAM.01.0001.3811.1.1","4.0","m","50.0","m","40.0","m","","m","Long-range transboundary transport","2.6","t.km-2.year-1","0","","","","t.year-1","7000 Eisenstadt","open","plane","40.0","","0.04","","5.0","30","13500","SPP.01.0001.3811.1.1.6787","01/01/2013 00:00:00","","automatic","UV-FL","","horibaAPSA370","","","","","","ref","http://www.umweltbundesamt.at/fileadmin/site/umweltthemen/luft/PM_Aequivalenz_Dokumentation.pdf","0.05","ppbv","Documentation SPP","http://www.umweltbundesamt.at","1","hour","1","hour","http://cdr.eionet.europa.eu/at/eu/aqd/d/envz2geia/AQD_Dataset_D_2024_AT.xml","18/12/2024 13:00:08"
